tick,time,code,action,bus,servicer_id,service_index,request_type,request_id,target_request_id,request_status,request_response,sequence,<values>
769,0.769,B,notify,rudder_bus1,rudder_controller1,24,RequestService,rudder_controller1#1,,SERVICE,
770,0.770,B,notify,rudder_controller1_bus,rudder1,25,RequestService,rudder1#2,,SERVICE,
770,0.770,B,service,rudder_controller1_bus,rudder1,25,RequestService,rudder1#2,,SERVICE,,24,_valueCurrent=,-25.5,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=NONE,_isTerminating=false,isArrived=false
770,0.770,B,notify,rudder_bus1,rudder_controller1,25,RequestService,rudder_controller1#1,,SERVICE,
771,0.771,B,notify,rudder_controller1_bus,rudder1,26,RequestService,rudder1#2,,SERVICE,
771,0.771,B,service,rudder_controller1_bus,rudder1,26,RequestService,rudder1#2,,SERVICE,,25,_valueCurrent=,-27.0,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=NONE,_isTerminating=false,isArrived=false
771,0.771,B,notify,rudder_bus1,rudder_controller1,26,RequestService,rudder_controller1#1,,SERVICE,
772,0.772,B,notify,rudder_controller1_bus,rudder1,27,RequestService,rudder1#2,,SERVICE,
772,0.772,B,service,rudder_controller1_bus,rudder1,27,RequestService,rudder1#2,,SERVICE,,26,_valueCurrent=,-28.5,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=NONE,_isTerminating=false,isArrived=false
772,0.772,B,notify,rudder_bus1,rudder_controller1,27,RequestService,rudder_controller1#1,,SERVICE,
773,0.773,B,notify,rudder_controller1_bus,rudder1,28,RequestService,rudder1#2,,SERVICE,
773,0.773,B,service,rudder_controller1_bus,rudder1,28,RequestService,rudder1#2,,SERVICE,,27,_valueCurrent=,-30.0,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=NONE,_isTerminating=false,isArrived=false
773,0.773,B,notify,rudder_bus1,rudder_controller1,28,RequestService,rudder_controller1#1,,SERVICE,
774,0.774,B,notify,rudder_controller1_bus,rudder1,29,RequestService,rudder1#2,,SERVICE,
774,0.774,B,service,rudder_controller1_bus,rudder1,29,RequestService,rudder1#2,,SERVICE,,28,_valueCurrent=,-31.5,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=NONE,_isTerminating=false,isArrived=false
774,0.774,B,notify,rudder_bus1,rudder_controller1,29,RequestService,rudder_controller1#1,,SERVICE,
775,0.775,B,notify,rudder_controller1_bus,rudder1,30,RequestService,rudder1#2,,SERVICE,
775,0.775,B,service,rudder_controller1_bus,rudder1,30,RequestService,rudder1#2,,SERVICE,,29,_valueCurrent=,-33.0,valueTarget=,-45.0,_speedCurrent=,1.5000000000000002,speedChange=NONE,_isTerminating=false,isArrived=false
775,0.775,B,notify,rudder_bus1,rudder_controller1,30,RequestService,rudder_controller1#1,,SERVICE,
776,0.776,B,notify,rudder_controller1_bus,rudder1,31,RequestService,rudder1#2,,SERVICE,
